,Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
1331,Axis Regular Saver Fund-Reg(G), Hybrid - Conservative Hybrid Fund, Open ended, N/A, 24.68,1.31,7.36,6.00,"1,000.00",2.22,"1,000.00"
1332,Axis Regular Saver Fund-Reg(A-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, N/A, 12.90,1.31,6.89,4.75,"1,000.00",2.22,"1,000.00"
1333,Navi Regular Savings Fund-Reg(G), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index, 22.70,2.27,4.17,4.85,"1,000.00",2.15,"1,000.00"
1334,Navi Regular Savings Fund-Reg(M-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index, 11.08,2.27,3.95,3.82,"1,000.00",2.15,"1,000.00"
1335,Sundaram Nifty 100 Equal Weight Fund(IDCW), Index Funds - Other, Open ended, Nifty100 Equal Weight - TRI, 58.21,-2.14,13.92,7.77,"1,000.00",0.95,"1,000.00"
1336,IDBI Liquid Fund(G), Debt - Liquid Fund, Open ended, N/A," 2,381.70",5.24,4.30,5.36,"5,000.00",0.17,"1,000.00"
1337,IDBI Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, N/A," 1,005.27",5.24,4.23,4.52,"5,000.00",0.17,"1,000.00"
1338,IDBI Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, N/A," 1,023.68",5.29,4.24,4.55,"5,000.00",0.17,"1,000.00"
1339,IDBI Liquid Fund(M-IDCW), Debt - Liquid Fund, Open ended, N/A," 1,007.53",5.24,4.25,4.53,"5,000.00",0.17,"1,000.00"
1340,IDFC Infrastructure Fund-Reg(G), Equity - Sectoral Fund - Infrastructure , Open ended, S&P BSE India Infrastructure Index - TRI, 25.00,5.86,20.52,6.00,"1,000.00",2.43,"1,000.00"
1341,IDFC Infrastructure Fund-Reg(IDCW), Equity - Sectoral Fund - Infrastructure , Open ended, S&P BSE India Infrastructure Index - TRI, 21.34,5.91,20.53,6.01,"1,000.00",2.43,"1,000.00"
1342,Navi Regular Savings Fund-Reg(Q-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index, 13.96,2.27,4.17,4.73,"1,000.00",2.15,"1,000.00"
1343,HDFC Children's Gift Fund(Lock in), Solution Oriented - Children's Fund, Open ended, NIFTY 50 Hybrid Composite Debt 65:35 Index, 201.13,9.76,16.35,11.60,"1,000.00",1.97,"1,000.00"
1344,IDBI Nifty Junior Index Fund(G), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI, 28.93,-6.21,10.18,4.94,"5,000.00",0.9,"1,000.00"
1345,IDBI Nifty Junior Index Fund(IDCW), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI, 28.93,-6.21,10.18,4.94,"5,000.00",0.9,"1,000.00"
1346,Nippon India Index Fund-S&P BSE Sensex Plan(G), Index Funds - Sensex, Open ended, S&P BSE SENSEX - TRI, 30.65,5.97,14.74,12.72,"5,000.00",0.81,"1,000.00"
1347,Nippon India Index Fund-S&P BSE Sensex Plan(Q-IDCW), Index Funds - Sensex, Open ended, S&P BSE SENSEX - TRI, 24.16,5.97,14.39,12.27,"5,000.00",0.81,"1,000.00"
1348,Nippon India Index Fund-S&P BSE Sensex Plan(H-IDCW), Index Funds - Sensex, Open ended, S&P BSE SENSEX - TRI, 24.16,5.97,14.39,12.27,"5,000.00",0.81,"1,000.00"
1349,Nippon India Index Fund-S&P BSE Sensex Plan(A-IDCW), Index Funds - Sensex, Open ended, S&P BSE SENSEX - TRI, 24.16,5.97,14.38,12.27,"5,000.00",0.81,"1,000.00"
1350,IDBI Equity Savings Fund(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index, 21.49,2.66,6.30,6.51,"5,000.00",2.12,"1,000.00"
1351,IDBI Equity Savings Fund(M-IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index, 16.93,2.66,6.30,6.47,"5,000.00",2.12,"1,000.00"
1352,IDBI Equity Savings Fund(Q-IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index, 16.00,2.66,6.30,6.51,"5,000.00",2.12,"1,000.00"
1353,HSBC Balanced Advantage Fund-Reg(G), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index, 31.71,3.42,7.46,6.80,"5,000.00",2.1,"1,000.00"
1354,HSBC Balanced Advantage Fund-Reg(IDCW), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index, 17.27,3.43,7.44,6.40,"5,000.00",2.1,"1,000.00"
1355,SBI Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index," 1,121.73",4.95,3.68,3.87,"5,000.00",Nil,N/A
1356,Sundaram Balanced Advantage Fund(G), Hybrid - Dynamic Asset Allocation, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index, 26.27,4.79,7.99,5.89,"1,000.00",2.13,"1,000.00"
1357,Sundaram Balanced Advantage Fund(M-IDCW), Hybrid - Dynamic Asset Allocation, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index, 14.06,4.78,7.29,5.05,"1,000.00",2.13,"1,000.00"
1358,IDBI Equity Advantage Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI, 39.30,2.73,11.01,8.09,"1,000.00",2.43,"1,000.00"
1359,IDBI Equity Advantage Fund-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI, 23.62,2.71,11.01,7.96,"1,000.00",2.43,"1,000.00"
1360,Mirae Asset Great Consumer Fund-Reg(G), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI, 57.99,8.12,15.14,12.11,"5,000.00",2.06,"1,000.00"
1361,Mirae Asset Great Consumer Fund-Reg(IDCW), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI, 19.13,8.12,15.14,11.65,"5,000.00",2.06,"1,000.00"
1362,IDBI ST Bond(G), Debt - Short Duration Fund, Open ended, N/A, 23.16,5.24,3.32,7.76,"5,000.00",0.75,"1,000.00"
1363,IDBI ST Bond(W-IDCW), Debt - Short Duration Fund, Open ended, N/A, 12.38,5.24,3.32,7.76,"5,000.00",0.75,"1,000.00"
1364,IDBI ST Bond(M-IDCW), Debt - Short Duration Fund, Open ended, N/A, 12.18,5.24,3.32,7.76,"5,000.00",0.75,"1,000.00"
1365,Invesco India Gold Fund(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India, 16.60,12.62,10.11,11.47,"1,000.00",0.45,"1,000.00"
1366,Invesco India Gold Fund(IDCW), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India, 16.60,12.62,10.11,11.47,"1,000.00",0.45,"1,000.00"
1367,DSP World Agriculture Fund-Reg(G), FoFs (Overseas), Open ended, MSCI AC World Index, 20.15,-4.78,4.68,5.19,"1,000.00",2.36,"1,000.00"
1368,DSP World Agriculture Fund-Reg(IDCW), FoFs (Overseas), Open ended, MSCI AC World Index, 14.39,-4.78,4.68,4.76,"1,000.00",2.36,"1,000.00"
1369,DSP Global Allocation Fund-Reg(G), FoFs (Overseas), Open ended, N/A, 16.86,-0.38,7.13,7.94,"1,000.00",2.01,"1,000.00"
1370,DSP Global Allocation Fund-Reg(IDCW), FoFs (Overseas), Open ended, N/A, 15.19,-0.38,7.13,7.94,"1,000.00",2.01,"1,000.00"
1371,Union Long Term Equity Fund(G), Equity - ELSS, Open ended, S&P BSE 500 - TRI, 42.64,3.68,17.25,12.04,"1,000.00",2.49,"1,000.00"
1372,Union Long Term Equity Fund(IDCW), Equity - ELSS, Open ended, S&P BSE 500 - TRI, 23.84,3.71,17.25,11.92,"1,000.00",2.49,"1,000.00"
1373,Taurus Banking & Fin Serv Fund-Reg(G), Equity - Sectoral Fund - Banks & Financial Services, Open ended, S&P BSE BANKEX - TRI, 37.90,9.89,9.15,11.33,"5,000.00",2.43,"1,000.00"
1374,Taurus Banking & Fin Serv Fund-Reg(IDCW), Equity - Sectoral Fund - Banks & Financial Services, Open ended, S&P BSE BANKEX - TRI, 33.93,9.88,9.19,11.36,"5,000.00",2.43,"1,000.00"
1375,PGIM India Dynamic Bond Fund(G), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index," 2,200.46",3.92,2.92,3.69,"5,000.00",1.63,"1,000.00"
1376,HSBC Equity Savings Fund-Reg(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index, 23.61,2.21,8.96,6.40,"5,000.00",1.58,"1,000.00"
1377,HSBC Equity Savings Fund-Reg(M-IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index, 12.86,2.21,8.93,6.11,"5,000.00",1.58,"1,000.00"
1378,HSBC Equity Savings Fund-Reg(Q-IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index, 13.74,2.22,8.96,6.24,"5,000.00",1.58,"1,000.00"
1379,Axis Gold Fund-Reg(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India, 17.05,12.87,10.25,11.94,"5,000.00",0.6,"1,000.00"
1380,Axis Gold Fund-Reg(IDCW), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India, 17.07,12.87,10.26,11.95,"5,000.00",0.6,"1,000.00"
1381,Tata Retirement Sav Fund - Cons Plan(G), Solution Oriented - Retirement Fund, Open ended, CRISIL Short Term Debt Hybrid 75+25 Fund Index, 25.08,1.13,5.52,5.75,"5,000.00",2.17,"1,000.00"
1382,Tata Retirement Sav Fund - Mod Plan(G), Equity - Large & Mid Cap Fund, Open ended, CRISIL Short Term Debt Hybrid 75+25 Fund Index, 42.61,0.74,9.48,7.64,"5,000.00",2.03,"1,000.00"
1383,Tata Retirement Sav Fund - Prog Plan(G), Solution Oriented - Retirement Fund, Open ended, NIFTY 500 - TRI, 41.74,-0.31,9.16,7.63,"5,000.00",1.95,"1,000.00"
1384,ICICI Pru US Bluechip Equity Fund(G), Equity - Thematic Fund - Global, Open ended, S&P 500 , 48.69,7.85,14.40,16.27,"5,000.00",2.21,"1,000.00"
1385,Indiabulls Blue Chip Fund-Reg(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI, 29.51,3.29,9.33,8.11,"1,000.00",2.42,"1,000.00"
1386,Indiabulls Blue Chip Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI, 16.62,3.29,9.36,8.16,"1,000.00",2.42,"1,000.00"
1387,Union Dynamic Bond(G), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index, 19.55,4.27,1.88,3.59,"1,000.00",1.5,"1,000.00"
1388,Union Dynamic Bond(IDCW-Payout), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index, 13.03,4.28,1.88,3.59,"1,000.00",1.5,"1,000.00"
1389,HDFC Dynamic PE Ratio FOF-Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY 50 Hybrid Composite Debt 65:35 Index, 28.59,8.13,14.05,9.46,"1,000.00",1,"1,000.00"
1390,HDFC Dynamic PE Ratio FOF-Reg(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY 50 Hybrid Composite Debt 65:35 Index, 25.05,8.13,14.05,9.46,"1,000.00",1,"1,000.00"
1391,Franklin India Feeder - Franklin U.S. Opportunities Fund(G), FoFs (Overseas), Open ended, Russell 3000 Growth Index, 44.89,-12.94,6.08,12.08,"5,000.00",1.55,"1,000.00"
1392,Franklin India Feeder - Franklin U.S. Opportunities Fund(IDCW), FoFs (Overseas), Open ended, Russell 3000 Growth Index, 44.89,-12.94,6.08,12.08,"5,000.00",1.55,"1,000.00"
1393,Aditya Birla SL Gold Fund(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India, 17.07,13.30,9.89,11.55,"1,000.00",0.51,"1,000.00"
1394,Aditya Birla SL Gold Fund(IDCW), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India, 17.07,13.30,9.90,11.56,"1,000.00",0.51,"1,000.00"
1395,IDBI India Top 100 Equity Fund(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI, 40.39,2.65,15.21,11.05,"5,000.00",2.46,"1,000.00"
1396,IDBI India Top 100 Equity Fund(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI, 23.97,2.66,15.22,10.83,"5,000.00",2.46,"1,000.00"
1397,ICICI Pru Global Stable Equity Fund(FOF)(G), FoFs (Overseas), Open ended, MSCI World, 22.38,6.59,9.32,10.19,"5,000.00",1.55,"1,000.00"
1398,ICICI Pru Global Stable Equity Fund(FOF)(IDCW), FoFs (Overseas), Open ended, MSCI World, 22.38,6.59,9.32,10.19,"5,000.00",1.55,"1,000.00"
1399,Baroda BNP Paribas Banking and Fin Serv Fund-Reg(G), Equity - Sectoral Fund - Banks & Financial Services, Open ended, NIFTY BANK - TRI, 30.83,5.40,6.13,8.35,"5,000.00",2.66,"1,000.00"
1400,Baroda BNP Paribas Banking and Fin Serv Fund-Reg(IDCW), Equity - Sectoral Fund - Banks & Financial Services, Open ended, NIFTY BANK - TRI, 18.07,5.38,6.14,8.09,"5,000.00",2.66,"1,000.00"
1401,ICICI Pru US Bluechip Equity Fund(IDCW), Equity - Thematic Fund - Global, Open ended, S&P 500 , 48.69,7.85,14.40,16.27,"5,000.00",2.21,"1,000.00"
1402,Nippon India Retirement Fund-Wealth Creation(G), Solution Oriented - Retirement Fund, Open ended, S&P BSE 500 - TRI, 17.81,2.63,10.00,5.50,"1,000.00",1.98,"1,000.00"
1403,Nippon India Retirement Fund-Wealth Creation(IDCW), Solution Oriented - Retirement Fund, Open ended, S&P BSE 500 - TRI, 15.37,2.63,9.60,5.27,"1,000.00",1.98,"1,000.00"
1404,Nippon India Retirement Fund-Income Generation(G), Solution Oriented - Retirement Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index, 16.07,2.59,4.99,6.13,"1,000.00",2.12,"1,000.00"
1405,Nippon India Retirement Fund-Income Generation(IDCW), Solution Oriented - Retirement Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index, 16.07,2.59,4.99,6.14,"1,000.00",2.12,"1,000.00"
1406,Baroda BNP Paribas India Consumption Fund-Reg(G), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI, 20.10,5.71,13.47,-,"5,000.00",2.28,"1,000.00"
1407,Baroda BNP Paribas India Consumption Fund-Reg(IDCW), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI, 17.71,5.71,13.48,-,"5,000.00",2.28,"1,000.00"
1408,DSP US Flexible Equity Fund-Reg(G), FoFs (Overseas), Open ended, Russell 1000 Index, 43.05,5.35,14.60,14.19,"1,000.00",2.39,"1,000.00"
1409,DSP US Flexible Equity Fund-Reg(IDCW), FoFs (Overseas), Open ended, Russell 1000 Index, 23.90,5.35,14.60,12.94,"1,000.00",2.39,"1,000.00"
1410,IDBI Gold Fund(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India, 15.21,12.08,10.01,11.28,"5,000.00",0.67,"1,000.00"
1411,Invesco India Banking & PSU Debt Fund(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index," 1,894.49",4.67,1.37,4.09,"1,000.00",0.7,"1,000.00"
1412,Invesco India Banking & PSU Debt Fund(DD-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index," 1,010.22",4.74,1.44,4.15,"1,000.00",0.7,"1,000.00"
1413,IIFL Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index, 18.44,3.70,2.92,5.40,"10,000.00",0.52,"1,000.00"
1414,IIFL Dynamic Bond Fund-Reg(M-IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index, 11.84,3.70,2.92,5.32,"10,000.00",0.52,"1,000.00"
1415,IIFL Dynamic Bond Fund-Reg(Q-IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index, 17.79,3.70,2.92,5.40,"10,000.00",0.52,"1,000.00"
1416,Motilal Oswal Gold and Silver ETFs FoF-Reg(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India, 11.12,-,-,-,"1,000.00",0.51,"1,000.00"
1417,HSBC Asia Pacific (Ex Japan) DYF-Reg(G), FoFs (Overseas), Open ended, MSCI Asia (ex-Japan) Standard Index, 18.26,-6.98,5.88,5.86,"5,000.00",2.06,"1,000.00"
1418,HSBC Asia Pacific (Ex Japan) DYF-Reg(IDCW-Payout), FoFs (Overseas), Open ended, MSCI Asia (ex-Japan) Standard Index, 18.26,-6.98,5.88,5.86,"5,000.00",2.06,"1,000.00"
1419,Invesco India Banking & PSU Debt Fund(M-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index," 1,031.60",4.67,1.37,3.98,"1,000.00",0.7,"1,000.00"
1420,SBI Consumption Opp Fund-Reg(G), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI, 205.69,14.71,19.13,11.62,"5,000.00",2.22,"1,000.00"
1421,Nippon India US Equity Opp Fund(G), Equity - Thematic Fund - Global, Open ended, S&P 500 - TRI, 22.87,-5.53,7.81,12.96,"1,000.00",2.45,"1,000.00"
1422,SBI Technology Opp Fund-Reg(G), Equity - Sectoral Fund - Technology, Open ended, S&P BSE TECk Index - TRI, 150.22,0.29,27.50,21.94,"5,000.00",1.97,"1,000.00"
1423,Quantum Long Term Equity Value Fund-Reg(IDCW), Equity - Value Fund, Open ended, S&P BSE 500 - TRI, 80.62,7.06,15.18,8.47,"1,000.00",1.79,"1,000.00"
1424,Quantum Long Term Equity Value Fund-Reg(G), Equity - Value Fund, Open ended, S&P BSE 500 - TRI, 80.16,7.06,15.20,8.50,"1,000.00",1.79,"1,000.00"
1425,Quantum Tax Saving Fund-Reg(G), Equity - ELSS, Open ended, S&P BSE 500 - TRI, 79.97,7.47,15.45,8.61,"1,000.00",1.79,"1,000.00"
1426,Quantum Tax Saving Fund-Reg(IDCW), Equity - ELSS, Open ended, S&P BSE 500 - TRI, 79.97,7.47,15.45,8.61,"1,000.00",1.79,"1,000.00"
1427,Quantum Equity FoF-Reg(G), FoFs (Domestic) - Equity Oriented, Open ended, S&P BSE 200 - TRI, 53.66,0.93,12.62,8.96,"1,000.00",0.75,"1,000.00"
1428,Quantum Equity FoF-Reg(IDCW), FoFs (Domestic) - Equity Oriented, Open ended, S&P BSE 200 - TRI, 53.66,0.93,12.62,8.96,"1,000.00",0.75,"1,000.00"
1429,LIC MF Banking & Financial Services Fund-Reg(G), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI, 15.34,10.90,8.36,5.88,"5,000.00",2.61,"1,000.00"
1430,Quantum Gold Saving Fund-Reg(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India, 22.09,12.64,10.09,11.65,"1,000.00",0.21,"1,000.00"
1431,Quantum Multi Asset FOFs-Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, N/A, 25.00,6.49,8.91,7.77,"1,000.00",0.47,"1,000.00"
1432,PGIM India Banking & PSU Debt Fund(G), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index, 20.43,4.34,3.36,4.98,"5,000.00",0.41,"1,000.00"
1433,Aditya Birla SL MNC Fund-Reg(IDCW), Equity - Thematic Fund - MNC, Open ended, NIFTY MNC - TRI, 156.34,-2.32,3.17,3.47,"1,000.00",2.06,"1,000.00"
1434,Axis Money Market Fund-Reg(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index," 1,199.57",6.05,5.12,4.92,"5,000.00",0.36,"1,000.00"
1435,Motilal Oswal Focused Fund-Reg(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI, 32.44,3.42,9.40,8.82,"1,000.00",2.18,"1,000.00"
1436,Motilal Oswal Focused Fund-Reg(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI, 17.75,3.42,9.20,8.62,"1,000.00",2.18,"1,000.00"
1437,Bank of India Balanced Advantage Fund-Reg(G), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index, 18.83,14.90,8.86,4.91,"5,000.00",2.6,"1,000.00"
1438,Union Focused Fund-Reg(G), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI, 17.86,0.11,15.49,-,"1,000.00",2.59,"1,000.00"
1439,IIFL Dynamic Bond Fund-Reg(H-IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index, 17.79,3.70,2.92,5.40,"10,000.00",0.52,"1,000.00"
1440,Motilal Oswal Midcap Fund-Reg(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI, 50.43,12.78,20.59,14.89,"1,000.00",2.04,"1,000.00"
1441,Indiabulls Short Term Fund-Reg(G), Debt - Short Duration Fund, Open ended, N/A," 1,782.95",4.68,2.64,3.48,"1,000.00",1.49,"1,000.00"
1442,Indiabulls Short Term Fund-Reg(M-IDCW), Debt - Short Duration Fund, Open ended, N/A," 1,021.92",4.68,2.64,3.44,"1,000.00",1.49,"1,000.00"
1443,Indiabulls Short Term Fund-Reg(FN-IDCW), Debt - Short Duration Fund, Open ended, N/A," 1,015.85",3.91,2.23,3.32,"1,000.00",1.49,"1,000.00"
1444,Indiabulls Short Term Fund-Reg(W-IDCW), Debt - Short Duration Fund, Open ended, N/A," 1,013.19",4.68,2.64,3.41,"1,000.00",1.49,"1,000.00"
1445,Edelweiss Banking and PSU Debt Fund-Reg(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 20.53,5.25,2.84,5.67,"5,000.00",0.64,"1,000.00"
1446,Edelweiss Banking and PSU Debt Fund-Reg(IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 17.48,5.25,2.84,5.67,"5,000.00",0.64,"1,000.00"
1447,Canara Rob Corp Bond Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index, 18.47,4.41,3.05,4.70,"5,000.00",1.03,"1,000.00"
1448,Aditya Birla SL Banking & Financial Services Fund-Reg(G), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI, 40.21,5.25,9.05,8.19,"1,000.00",2.1,"1,000.00"
1449,Invesco India - Invesco Global Equity Income FoF-Reg(G), FoFs (Overseas), Open ended, MSCI World Index-Net Dividend, 19.59,8.93,10.98,9.32,"1,000.00",1.38,"1,000.00"
1450,PGIM India Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index," 1,145.23",4.99,3.82,-,"5,000.00",0.26,"1,000.00"
1451,Edelweiss Eur Dynamic Equity Off-shr Fund-Reg(G), FoFs (Overseas), Open ended, MSCI Europe Index (Total Return Net), 16.25,6.62,10.49,7.62,"5,000.00",2.34,N/A
1452,Invesco India - Invesco Pan European Equity FoF-Reg(G), FoFs (Overseas), Open ended, MSCI Europe Index (Total Return Net), 15.13,9.44,10.57,6.20,"1,000.00",0.94,"1,000.00"
1453,Nippon India Japan Equity Fund(G), Equity - Thematic Fund - Global, Open ended, S&P BSE 500 Japan - TRI, 15.26,-5.47,2.28,4.61,"5,000.00",2.42,"1,000.00"
1454,PGIM India Midcap Opp Fund-Reg(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI, 43.21,1.23,29.12,16.77,"5,000.00",1.94,"1,000.00"
1455,PGIM India Midcap Opp Fund-Reg(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI, 22.16,1.23,29.11,16.43,"5,000.00",1.94,"1,000.00"
1456,Shriram Hybrid Equity Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 23.09,1.98,9.09,7.67,"5,000.00",2.35,"1,000.00"
1457,Shriram Hybrid Equity Fund-Reg(IDCW-Payout), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 18.46,1.98,9.09,7.67,"5,000.00",2.35,"1,000.00"
1458,HDFC Retirement Savings Fund-Equity Plan-Reg(G), Solution Oriented - Retirement Fund, Open ended, NIFTY 500 - TRI, 31.88,12.51,21.92,13.16,"1,000.00",2.23,"1,000.00"
1459,HDFC Retirement Savings Fund-Hybrid-Equity Plan-Reg(G), Solution Oriented - Retirement Fund, Open ended, NIFTY 50 Hybrid Composite Debt 65:35 Index, 26.67,8.35,14.85,10.74,"1,000.00",2.43,"1,000.00"
1460,HDFC Retirement Savings Fund-Hybrid-Debt Plan-Reg(G), Solution Oriented - Retirement Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index, 17.22,4.60,6.91,6.40,"1,000.00",2.16,"1,000.00"
1461,Aditya Birla SL Banking & Financial Services Fund-Reg(IDCW), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI, 18.17,5.27,9.06,7.84,"1,000.00",2.1,"1,000.00"
1462,Baroda BNP Paribas Money Market Fund-Reg(G), Debt - Money Market Fund, Open ended, CRISIL Money Market Index," 1,165.01",5.51,4.47,3.73,"5,000.00",0.39,"1,000.00"
1463,ICICI Pru Retirement Fund-Pure Equity Plan(G), Solution Oriented - Retirement Fund, Open ended, NIFTY 500 - TRI, 17.10,-0.58,17.42,-,"5,000.00",2.59,"1,000.00"
1464,ICICI Pru Retirement Fund-Hybrid Cons Plan(G), Solution Oriented - Retirement Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index, 12.91,1.37,5.81,-,"5,000.00",2.13,"1,000.00"
1465,ICICI Pru Retirement Fund-Hybrid Aggressive Plan(G), Solution Oriented - Retirement Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 14.83,-0.47,11.26,-,"5,000.00",2.49,"1,000.00"
1466,ICICI Pru Retirement Fund-Pure Debt Plan(G), Solution Oriented - Retirement Fund, Open ended, NIFTY Composite Debt Index, 12.80,3.12,4.65,-,"5,000.00",2.16,"1,000.00"
1467,Invesco India - Invesco Pan European Equity FoF-Reg(IDCW), FoFs (Overseas), Open ended, MSCI Europe Index (Total Return Net), 15.12,9.44,10.57,6.20,"1,000.00",0.94,"1,000.00"
1468,DSP Dynamic Asset Allocation Fund-Reg(G), Hybrid - Dynamic Asset Allocation, Open ended, CRISIL Hybrid 50+50 - Moderate Index, 20.11,1.73,6.51,7.14,"1,000.00",1.9,"1,000.00"
1469,DSP Dynamic Asset Allocation Fund-Reg(M-IDCW), Hybrid - Dynamic Asset Allocation, Open ended, CRISIL Hybrid 50+50 - Moderate Index, 11.66,1.73,6.49,6.59,"1,000.00",1.9,"1,000.00"
1470,Canara Rob Corp Bond Fund-Reg(IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index, 11.46,4.40,3.05,4.70,"5,000.00",1.03,"1,000.00"
1471,Nippon India Multi Asset Fund-Reg(G), Hybrid - Multi Asset Allocation, Open ended, N/A, 13.79,5.28,-,-,"5,000.00",1.84,"1,000.00"
1472,Motilal Oswal Midcap Fund-Reg(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI, 28.75,12.78,20.59,14.62,"1,000.00",2.04,"1,000.00"
1473,Franklin India Feeder - Templeton European Opportunities Fund(G), FoFs (Overseas), Open ended, MSCI Europe Index (Total Return Net), 9.52,1.33,0.38,-1.21,"5,000.00",1.4,"1,000.00"
