,Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
1870,Motilal Oswal Nifty 500 Index Fund-Reg(G), Index Funds - Other, Open ended, NIFTY 500 - TRI, 16.80,1.65,14.60,-,"1,000.00",1.05,"1,000.00"
1871,Motilal Oswal Nifty Smallcap 250 Index Fund-Reg(G), Index Funds - Other, Open ended, Nifty Smallcap 250 - TRI, 19.99,-3.14,20.08,-,"1,000.00",1.03,"1,000.00"
1872,ICICI Pru MNC Fund(IDCW), Equity - Thematic Fund - MNC, Open ended, NIFTY MNC - TRI, 16.19,1.31,20.99,-,"5,000.00",2.27,"1,000.00"
1873,Axis All Seasons Debt FOFs-Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY Composite Debt Index, 11.93,3.78,5.59,-,"5,000.00",0.57,"1,000.00"
1874,Axis Retirement Savings Fund-Aggressive Plan-Reg(G), Solution Oriented - Retirement Fund, Open ended, NIFTY 50 Hybrid Composite Debt 70:30 Index, 12.44,-4.40,5.77,-,"5,000.00",2.29,"1,000.00"
1875,Axis Retirement Savings Fund-Dynamic Plan-Reg(G), Solution Oriented - Retirement Fund, Open ended, NIFTY 50 Hybrid Composite Debt 65:35 Index, 12.83,-3.90,7.46,-,"5,000.00",2.35,"1,000.00"
1876,Axis Retirement Savings Fund-Conservative Plan-Reg(G), Solution Oriented - Retirement Fund, Open ended, NIFTY 50 Hybrid Short Duration Debt 25:75 Index, 12.26,-2.50,5.66,-,"5,000.00",2.09,"1,000.00"
1877,Mahindra Manulife Ultra Short Term Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index," 1,165.64",5.72,4.72,4.47,"1,000.00",0.77,"1,000.00"
1878,Union Multicap Fund-Reg(G), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI, 9.65,-,-,-,"1,000.00",2.54,"1,000.00"
1879,SBI CPO Fund-A-4-Reg(G), Capital Protection, Close ended, CRISIL Hybrid 85+15 - Conservative Index, 12.97,3.01,6.50,-,"5,000.00",,N/A
1880,Shriram Balanced Advantage Fund-Reg(IDCW), Hybrid - Dynamic Asset Allocation, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index, 13.43,3.53,8.69,-,"5,000.00",2.6,"1,000.00"
